month,month_last_day,month_filings,avg_filings,percentage_diff
Jan-20,,823,823,1
Jan-21,,404,823,0.490886999
Jan-22,,509,823,0.618469016
Jan-23,,853,823,1.036452005
Jan-24,,795,823,0.965978129
Jan-25,,538,823,0.653705954
Feb-20,,577,592.5,0.973839662
Feb-21,,320,575.5,0.556038228
Feb-22,,504,575.5,0.875760209
Feb-23,,551,575.5,0.957428323
Feb-24,,638,592.5,1.076793249
Feb-25,,416,575.5,0.722849696
Mar-20,,273,700.5,0.389721627
Mar-21,,475,700.5,0.678087081
Mar-22,,493,700.5,0.703783012
Mar-23,,824,700.5,1.176302641
Mar-24,,579,700.5,0.826552463
Mar-25,,492,700.5,0.70235546
Apr-20,,1,574,0.00174216
Apr-21,,322,574,0.56097561
Apr-22,,451,574,0.785714286
Apr-23,,511,574,0.890243902
Apr-24,,638,574,1.111498258
Apr-25,,477,574,0.831010453
May-20,,1,694.5,0.001439885
May-21,,421,694.5,0.606191505
May-22,,482,694.5,0.694024478
May-23,,745,694.5,1.072714183
May-24,,646,694.5,0.930165587
May-25,,480,694.5,0.691144708
Jun-20,,450,642,0.700934579
Jun-21,,491,642,0.764797508
Jun-22,,594,642,0.925233645
Jun-23,,693,642,1.079439252
Jun-24,,594,642,0.925233645
Jul-20,,391,708,0.552259887
Jul-21,,449,708,0.634180791
Jul-22,,520,708,0.734463277
Jul-23,,666,708,0.940677966
Jul-24,,752,708,1.062146893
Aug-20,,454,726,0.625344353
Aug-21,,432,726,0.595041322
Aug-22,,784,726,1.079889807
Aug-23,,823,726,1.133608815
Aug-24,,636,726,0.876033058
Sep-20,,471,743,0.633916555
Sep-21,,551,743,0.741588156
Sep-22,,624,743,0.839838493
Sep-23,,753,743,1.01345895
Sep-24,,733,743,0.98654105
Oct-20,,458,597,0.767169179
Oct-21,,498,597,0.834170854
Oct-22,,760,597,1.273031826
Oct-23,,859,597,1.438860972
Oct-24,,337,597,0.564489112
Nov-20,,481,472.5,1.017989418
Nov-21,,493,472.5,1.043386243
Nov-22,,655,472.5,1.386243386
Nov-23,,647,472.5,1.369312169
Nov-24,,302,472.5,0.639153439
Dec-20,,423,502.5,0.841791045
Dec-21,,483,502.5,0.96119403
Dec-22,,656,502.5,1.305472637
Dec-23,,537,502.5,1.068656716
Dec-24,,469,502.5,0.933333333
