g band,r band,age [Gyr]
-8.251992,-9.073995,7.237798427881183
-8.221843,-9.005991,7.144878323184984
-8.350263,-9.132993,7.059576986787597
-7.4396596,-8.320216,7.225332758852641
-7.9004116,-8.730897,7.236292323352562
-8.388438,-9.172041,7.111967550966295
-8.212528,-8.99781,7.206027136391229
-8.020801,-8.844331,7.238572487040413
-8.180858,-8.964445,7.111058873078895
-8.242422,-9.027674,7.204433699264524
-8.300127,-9.08468,7.16691179595848
-7.8842754,-8.78298,7.217746684790838
-8.126597,-8.964091,7.2325861239330465
-8.741158,-9.5747795,7.234378638566972
-8.53229,-9.316838,7.166583251735338
-7.8359127,-8.729796,7.227208445147208
-8.257696,-9.123466,7.226393272338245
-8.740505,-9.511985,6.426874376748275
-8.134224,-9.005086,7.230468112779692
-8.140936,-8.941433,7.241258204787082
-8.446758,-9.231543,7.179301138441939
-8.823292,-9.562406,4.635047032852832
-8.148782,-8.933988,7.201898828614777
-8.027439,-8.8126745,7.203534328519446
-8.024872,-8.810034,7.199609294539126
-8.657688,-9.441646,7.1333450971986325
-8.381122,-9.311828,7.20427044432212
-8.538117,-9.31415,6.682813057198682
-8.243779,-9.139372,7.200263311006192
-8.641219,-9.415753,6.599366933683757
-8.012026,-8.794588,7.0495932918273
-8.679856,-9.46404,7.147018040665974
-8.572739,-9.356153,7.100555444102674
-8.409484,-9.149753,4.7123951094792424
-8.773092,-9.62263,6.909451830492808
-7.7857137,-8.5547495,6.270507040701335
-8.89004,-9.642225,5.219995682198073
-8.518458,-9.260513,4.780495172866923
-8.178905,-8.993868,5.116750327340904
-8.393843,-9.173176,6.861615577376375
-8.143174,-8.968196,6.847487088842251
-8.604858,-9.380703,6.841182482123756
-8.489082,-9.228219,4.575404414487734
-8.423607,-9.196335,6.496806507824598
-8.303261,-9.083314,6.901496696094238
-7.7418523,-8.677087,7.210194431930126
-8.429661,-9.259124,5.089103908214501
-8.589973,-9.339133,5.077466201602972
-8.4314995,-9.176046,4.877229406347205
-8.465299,-9.242975,6.82446051549596
-8.04207,-8.813675,6.43381893498138
-8.629006,-9.411078,7.02040761334569
-8.114347,-9.042592,7.17921900881014
-8.122423,-8.906154,7.119649560882029
-8.280601,-9.026831,4.946744210052051
-8.063279,-8.897317,7.243942893846414
-8.224191,-8.976143,5.208476147528559
-7.996543,-8.907597,7.202552835186986
-8.757836,-9.512813,5.360933120324761
-8.779748,-9.52139,4.7646830277639545
-8.097149,-8.882403,7.2045148378825346
-8.224387,-9.00973,7.209296073346342
-8.636013,-9.401633,5.99364925554804
-8.28367,-9.1863785,5.415375883240902
-8.637136,-9.407324,6.346212441803863
-8.150109,-8.901069,5.15950434493851
-7.987797,-8.922703,7.2080291732546025
-7.585859,-8.507647,6.734181242911663
-8.485679,-9.269262,7.110810428607106
-8.944286,-9.689068,4.886396409741222
-8.09229,-8.876142,7.1269957741015935
-8.240327,-9.023935,7.1122981560073075
-8.6353035,-9.406338,6.4020842925367765
-8.626765,-9.367017,4.7117770731125646
-8.171378,-8.941614,6.349444568795337
-7.8694315,-8.770561,6.694425952645191
-8.517046,-9.302169,7.197482988359971
-8.388077,-9.170842,7.0617392097332665
-8.705938,-9.457474,5.187796477462291
-8.780949,-9.56574,7.179629656542039
-8.977601,-9.71891,4.751938778693601
-8.523068,-9.272521,5.09070760265975
-8.591003,-9.350808,6.898956222142658
-8.397062,-9.288751,7.215869899070946
-8.411514,-9.150619,4.657840677668702
-8.306897,-9.091194,7.1531886458353755
-8.784606,-9.523742,4.5791522067853005
-8.5115185,-9.25545,4.853161335005655
-8.653212,-9.40833,6.919257940464109
-8.49069,-9.261069,6.358955169334132
-9.02613,-9.772111,4.935791623779906
-7.9611735,-8.74484,7.243129771761504
-8.275211,-9.060471,7.204801266629636
-7.181429,-8.107342,11.385555661523693
-8.874829,-9.619085,4.865812400633889
-8.409226,-9.26241,6.5012266667652545
-8.146061,-9.021622,5.205297171019698
-8.032441,-8.936781,7.204923463027949
-8.926697,-9.668188,4.758929095466087
-8.033485,-8.951329,7.201653453221158
-8.269285,-9.053625,7.155491562914284
-8.622749,-9.425359,6.835725729935943
-8.595839,-9.3393345,4.836205982231354
-8.146871,-8.886263,4.679357715792978
-8.425249,-9.19912,6.561496048118051
-8.3263855,-9.101546,6.635344616792064
-8.379666,-9.285824,7.141172871143484
-8.153259,-8.925815,6.487074248235878
-8.453453,-9.196088,4.802848294334398
-8.750663,-9.496023,4.909185534194327
-7.5091777,-8.444313,9.63144353566377
-8.34829,-9.115045,6.106740156074016
-8.3255625,-9.198092,7.227860384589426
-8.602962,-9.385244,7.032927974705723
-7.967062,-8.831177,7.230712462691115
-9.064738,-9.805175,4.7187873383339625
-7.776651,-8.559434,7.062736172762105
-8.249515,-9.114522,7.008706648067304
-8.14149,-8.906239,5.908232417812505
-8.279963,-9.176001,6.584306975210818
-8.583533,-9.380736,7.239020110222408
-8.467386,-9.211292,4.85213996318633
-8.506453,-9.253639,4.989048143783794
-8.275376,-9.066207,7.243414169566908
-8.631601,-9.394508,5.79645391302714
-8.549499,-9.294502,4.89515019511621
-8.099256,-9.027114,7.18553015496809
-8.030979,-8.824231,7.2410138730517515
-8.643214,-9.427692,7.1628880612756785
-8.17389,-9.084997,7.195191432533266
-7.9365735,-8.845259,7.178562947957296
-8.573039,-9.331149,5.525854476958539
-7.960476,-8.83384,7.217420203998873
-8.333538,-9.205184,7.212276569681385
-8.106229,-8.891322,7.195846445599494
-8.029812,-8.798436,6.243695127311405
-8.740372,-9.524735,7.15680680270626
-8.422749,-9.240481,5.127551953508357
-8.321046,-9.106174,7.243495286360734
-8.475977,-9.281024,7.236373444251481
-8.219777,-9.098369,6.969138223766699
-8.185529,-8.959322,6.5571029464971815
